,,,,,Rad,Temp,RH,Wind
YY,MM,DD,HH,MIN,J/m^2/s,Deg,%,m/s
2016,7,29,0,0,0,14.199999999999999,96,4.7000000000000002
2016,7,29,1,0,0,14,96,4.5999999999999996
2016,7,29,2,0,0,13.800000000000001,97,3.8999999999999999
2016,7,29,3,0,0,13.300000000000001,97,5
2016,7,29,4,0,0,14.300000000000001,93,3.7000000000000002
2016,7,29,5,0,14.722222222222221,14.300000000000001,95,4.0999999999999996
2016,7,29,6,0,30.277777777777779,15.699999999999999,87,5.5
2016,7,29,7,0,76.666666666666671,16,87,3.6000000000000001
2016,7,29,8,0,59.444444444444443,17,78,3
2016,7,29,9,0,51.944444444444443,18.100000000000001,72,5.2000000000000002
2016,7,29,10,0,101.11111111111111,19.699999999999999,64,4.0999999999999996
2016,7,29,11,0,100,20.300000000000001,62,3.3999999999999999
2016,7,29,12,0,94.444444444444443,19.699999999999999,65,2.2999999999999998
2016,7,29,13,0,125.27777777777777,20.699999999999999,67,1.1000000000000001
2016,7,29,14,0,75,20.100000000000001,65,3.3999999999999999
2016,7,29,15,0,111.94444444444444,21.699999999999999,61,3
2016,7,29,16,0,83.611111111111114,20.5,64,2.1000000000000001
2016,7,29,17,0,21.111111111111111,20,65,2.7999999999999998
2016,7,29,18,0,6.666666666666667,19.600000000000001,68,2.7999999999999998
2016,7,29,19,0,0.27777777777777779,18.5,74,4
2016,7,29,20,0,0,17.5,80,4.7000000000000002
2016,7,29,21,0,0,16.300000000000001,85,4.5999999999999996
2016,7,29,22,0,0,15.6,88,4.2999999999999998
2016,7,29,23,0,0,15.199999999999999,90,4.2999999999999998
2016,7,30,0,0,0,15.6,88,4.2999999999999998
2016,7,30,1,0,0,13.699999999999999,97,4.2999999999999998
2016,7,30,2,0,0,15.1,90,5.2000000000000002
2016,7,30,3,0,0,15.199999999999999,87,4.7999999999999998
2016,7,30,4,0,0,15.6,86,3.3999999999999999
2016,7,30,5,0,16.111111111111111,16,85,3.7999999999999998
2016,7,30,6,0,45,17.899999999999999,79,3.7000000000000002
2016,7,30,7,0,73.611111111111114,19.600000000000001,73,2.1000000000000001
2016,7,30,8,0,84.444444444444443,19.800000000000001,72,1.3
2016,7,30,9,0,88.888888888888886,20.800000000000001,68,1.6000000000000001
2016,7,30,10,0,97.777777777777771,20.699999999999999,66,2.7999999999999998
2016,7,30,11,0,118.05555555555556,21.199999999999999,64,3.2999999999999998
2016,7,30,12,0,160.55555555555554,23.199999999999999,55,3.3999999999999999
